dataset; method; num_of_feat; num_of_elems; accuracy; balanced_acc; precision; recall; f1_score; tpr_fpr_tnr; matrix; scores
ecoli-0_vs_1.dat; NO SELECTION; 7; 220; 0.9645454545454546; 0.9741379310344827; 1.0; 0.9482758620689654; 0.9734513274336283; (0.9482758620689654,0.0,1.0); [[71.5,0.],[3.9,34.6]]; ['all']
ecoli-0_vs_1.dat; ANOVA; 3; 220; 0.9727272727272727; 0.9768512807861519; 0.9944055944055943; 0.9647218453188603; 0.9793388429752065; (0.9647218453188603,0.011019283746556476,0.9889807162534435); [[71.1,0.4],[2.6,35.9]]; [1,5,6]
ecoli-0_vs_1.dat; RELIEF; 3; 220; 0.9681818181818181; 0.9766666666666667; 1.0; 0.9533333333333334; 0.9761092150170648; (0.9533333333333334,0.0,1.0); [[71.5,0.],[3.5,35.]]; [0,5,6]
ecoli-0_vs_1.dat; INFORATION GAIN; 3; 220; 0.9681818181818181; 0.9766666666666667; 1.0; 0.9533333333333334; 0.9761092150170648; (0.9533333333333334,0.0,1.0); [[71.5,0.],[3.5,35.]]; [0,5,6]
ecoli-0_vs_1.dat; CHI SQUARE; 3; 220; 0.9727272727272727; 0.9768512807861519; 0.9944055944055943; 0.9647218453188603; 0.9793388429752065; (0.9647218453188603,0.011019283746556476,0.9889807162534435); [[71.1,0.4],[2.6,35.9]]; [1,5,6]
ecoli-0_vs_1.dat; CORRELATION COEF; 3; 220; 0.9727272727272727; 0.9768512807861519; 0.9944055944055943; 0.9647218453188603; 0.9793388429752065; (0.9647218453188603,0.011019283746556476,0.9889807162534435); [[71.1,0.4],[2.6,35.9]]; [1,5,6]
ecoli1.dat; NO SELECTION; 7; 336; 0.8869047619047619; 0.8545028529970728; 0.6727272727272727; 0.8018575851393189; 0.731638418079096; (0.8018575851393189,0.09285187914517318,0.9071481208548269); [[25.9,12.6],[6.4,123.1]]; ['all']
ecoli1.dat; ANOVA; 3; 336; 0.8482142857142858; 0.785252700617284; 0.6675324675324675; 0.6692708333333334; 0.6684005201560468; (0.6692708333333334,0.09876543209876544,0.9012345679012346); [[25.7,12.8],[12.7,116.8]]; [4,5,6]
ecoli1.dat; RELIEF; 3; 336; 0.8898809523809523; 0.8661451958384333; 0.6545454545454545; 0.8289473684210527; 0.7314949201741655; (0.8289473684210527,0.09665697674418605,0.903343023255814); [[25.2,13.3],[5.2,124.3]]; [0,5,6]
ecoli1.dat; INFORATION GAIN; 3; 336; 0.8898809523809523; 0.8661451958384333; 0.6545454545454545; 0.8289473684210527; 0.7314949201741655; (0.8289473684210527,0.09665697674418605,0.903343023255814); [[25.2,13.3],[5.2,124.3]]; [0,5,6]
